Person,count
史强,33
常伟思,30
杨冬,35
丁仪,52
申玉菲,46
爱因斯坦,18
艾AA,4
豆豆,3
魏成,30
潘寒,47
李瑶,2
周文王,47
纣王,24
伏羲,7
沙瑞山,23
叶哲泰,26
绍琳,20
白沐霖,29
马钢,5
程丽华,9
叶文雪,4
杨卫宁,74
1379号监听员,8
威尔逊,1
孔子,3
牛顿,30
秦始皇,36
拉菲尔,1
大凤,9
唐红静,1
智子,82
罗辑,4
