Person1,Person2,relationships
J,罗辑,53165
J,7,2170
J,毕云峰,2170
J,曹彬,1085
J,丁仪,1085
J,伊万,5425
J,韦斯特,18445
J,戴文,5425
J,朴义君,2170
J,艾克,21700
J,刘晓明,2170
J,关一帆,21700
J,庄颜,5425
J,爱因斯坦,1085
韦斯特,智子,830025
韦斯特,斯科特,258230
韦斯特,A,129115
韦斯特,I,110670
韦斯特,琼斯,36890
韦斯特,程心,2434740
韦斯特,罗辑,903805
韦斯特,7,36890
韦斯特,毕云峰,36890
韦斯特,曹彬,18445
韦斯特,丁仪,18445
韦斯特,伊万,92225
韦斯特,J,18445
韦斯特,戴文,92225
韦斯特,朴义君,36890
韦斯特,艾克,368900
韦斯特,刘晓明,36890
韦斯特,关一帆,368900
韦斯特,庄颜,92225
韦斯特,爱因斯坦,18445
戴文,智子,244125
戴文,斯科特,75950
戴文,A,37975
戴文,I,32550
戴文,琼斯,10850
戴文,程心,716100
戴文,罗辑,265825
戴文,7,10850
戴文,毕云峰,10850
戴文,曹彬,5425
戴文,丁仪,5425
戴文,伊万,27125
戴文,J,5425
戴文,韦斯特,92225
戴文,朴义君,10850
戴文,艾克,108500
戴文,刘晓明,10850
戴文,关一帆,108500
戴文,庄颜,27125
戴文,爱因斯坦,5425
朴义君,智子,97650
朴义君,斯科特,30380
朴义君,A,15190
朴义君,I,13020
朴义君,琼斯,4340
朴义君,程心,286440
朴义君,罗辑,106330
朴义君,7,4340
朴义君,毕云峰,4340
朴义君,曹彬,2170
朴义君,丁仪,2170
朴义君,伊万,10850
朴义君,J,2170
朴义君,韦斯特,36890
朴义君,戴文,10850
朴义君,艾克,43400
朴义君,刘晓明,4340
朴义君,关一帆,43400
朴义君,庄颜,10850
朴义君,爱因斯坦,2170
艾克,智子,976500
艾克,斯科特,303800
艾克,A,151900
艾克,I,130200
艾克,琼斯,43400
艾克,程心,2864400
艾克,罗辑,1063300
艾克,7,43400
艾克,毕云峰,43400
艾克,曹彬,21700
艾克,丁仪,21700
艾克,伊万,108500
艾克,J,21700
艾克,韦斯特,368900
艾克,戴文,108500
艾克,朴义君,43400
艾克,刘晓明,43400
艾克,关一帆,434000
艾克,庄颜,108500
艾克,爱因斯坦,21700
刘晓明,智子,97650
刘晓明,斯科特,30380
刘晓明,A,15190
刘晓明,I,13020
刘晓明,琼斯,4340
刘晓明,程心,286440
刘晓明,罗辑,106330
刘晓明,7,4340
刘晓明,毕云峰,4340
刘晓明,曹彬,2170
刘晓明,丁仪,2170
刘晓明,伊万,10850
刘晓明,J,2170
刘晓明,韦斯特,36890
刘晓明,戴文,10850
刘晓明,朴义君,4340
刘晓明,艾克,43400
刘晓明,关一帆,43400
刘晓明,庄颜,10850
刘晓明,爱因斯坦,2170
关一帆,智子,976500
关一帆,斯科特,303800
关一帆,A,151900
关一帆,I,130200
关一帆,琼斯,43400
关一帆,程心,2864400
关一帆,罗辑,1063300
关一帆,7,43400
关一帆,毕云峰,43400
关一帆,曹彬,21700
关一帆,丁仪,21700
关一帆,伊万,108500
关一帆,J,21700
关一帆,韦斯特,368900
关一帆,戴文,108500
关一帆,朴义君,43400
关一帆,艾克,434000
关一帆,刘晓明,43400
关一帆,庄颜,108500
关一帆,爱因斯坦,21700
庄颜,智子,244125
庄颜,斯科特,75950
庄颜,A,37975
庄颜,I,32550
庄颜,琼斯,10850
庄颜,程心,716100
庄颜,罗辑,265825
庄颜,7,10850
庄颜,毕云峰,10850
庄颜,曹彬,5425
庄颜,丁仪,5425
庄颜,伊万,27125
庄颜,J,5425
庄颜,韦斯特,92225
庄颜,戴文,27125
庄颜,朴义君,10850
庄颜,艾克,108500
庄颜,刘晓明,10850
庄颜,关一帆,108500
庄颜,爱因斯坦,5425
爱因斯坦,智子,48825
爱因斯坦,斯科特,15190
爱因斯坦,A,7595
爱因斯坦,I,6510
爱因斯坦,琼斯,2170
爱因斯坦,程心,143220
爱因斯坦,罗辑,53165
爱因斯坦,7,2170
爱因斯坦,毕云峰,2170
爱因斯坦,曹彬,1085
爱因斯坦,丁仪,1085
爱因斯坦,伊万,5425
爱因斯坦,J,1085
爱因斯坦,韦斯特,18445
爱因斯坦,戴文,5425
爱因斯坦,朴义君,2170
爱因斯坦,艾克,21700
爱因斯坦,刘晓明,2170
爱因斯坦,关一帆,21700
爱因斯坦,庄颜,5425
