Person1,Person2,realtionships
程心,智子,9.628952739
程心,弗雷斯,6.758393406
智子,程心,9.628952739
智子,罗辑,0.999827314
智子,弗雷斯,0.790519017
智子,韦斯特,0.992863354
罗辑,智子,0.999827314
弗雷斯,程心,6.758393406
弗雷斯,智子,0.790519017
毕云峰,曹彬,0.756140839
曹彬,毕云峰,0.756140839
韦斯特,智子,0.992863354
韦斯特,关一帆,3.154736694
韦斯特,卓文,3.154736694
关一帆,1379号监听员,0.022244265
关一帆,艾克,0.995107064
关一帆,韦斯特,3.154736694
关一帆,卓文,3.154736694
1379号监听员,关一帆,0.022244265
艾克,关一帆,0.995107064
卓文,韦斯特,3.154736694
卓文,关一帆,3.154736694
