Person1,Person2,realtionships
程心,艾AA,22.63989696
程心,白Ice,1.655434116
程心,关一帆,38.48188209
艾AA,程心,22.63989696
艾AA,白Ice,5.565314679
艾AA,关一帆,10.04052592
白Ice,艾AA,5.565314679
白Ice,程心,1.655434116
关一帆,艾AA,10.04052592
关一帆,程心,38.48188209
